"","area","treatment","habitat","period","year","sites","all_rich","ept_rich","perc_dom","dom_taxa","avg_tol","perc_scraper","perc_predator","perc_filter","perc_gather","perc_other"
"25","West Lagoon","Control - LFA","near-shore","Before",2022,"7",23,3,0.4323499491353,"Chydoridae",7.84408602150538,0.08646998982706,0.18413021363174,0.0417090539165819,0.645981688708037,0.0417090539165819
"26","West Lagoon","Control - LFA","near-shore","After",2023,"7",34,3,0.218515594157126,"Paratanytarsus",6.8134036089455,0.0182096328464272,0.128742268719568,0.274172588498487,0.539355507303593,0.0395200026319253
"27","West Lagoon","Control - LFA","near-shore","After",2024,"7",31,2,0.203778809465356,"Hyalella",7.50308013579744,0.0634278413567663,0.163813871296435,0.0770084169555198,0.661550442029976,0.0341994283613031
"28","West Lagoon","Control - LFA","mid-channel","Before",2022,"7",12,1,0.356164383561644,"Psectrocladius",8.953125,0,0.150684931506849,0.0273972602739726,0.780821917808219,0.0410958904109589
"29","West Lagoon","Control - LFA","mid-channel","After",2023,"7",8,0,0.333333333333333,"Chironomus",7.54545454545455,0,0.0833333333333333,0.0833333333333333,0.75,0.0833333333333333
"30","West Lagoon","Control - LFA","mid-channel","After",2024,"7",8,0,0.2,"c(""Chironomus"", ""Oligochaeta"")",7.8,0,0.2,0.1,0.7,0
"31","West Lagoon","Endothall","near-shore","Before",2022,"c(1, 2, 3)",30,3,0.14914089347079,"Hyalella",7.08912386706949,0.0350515463917526,0.2446735395189,0.088659793814433,0.584879725085911,0.0467353951890034
"32","West Lagoon","Endothall","near-shore","After",2023,"c(1, 2, 3)",19,1,0.318897637795276,"Oligochaeta",6.59448818897638,0,0.200787401574803,0.192913385826772,0.519685039370079,0.0866141732283465
"33","West Lagoon","Endothall","near-shore","After",2024,"c(1, 2, 3)",38,3,0.0975813504235574,"Chydoridae",6.85297183551395,0.0102175870935742,0.181953454374584,0.0356153655384856,0.644057796979625,0.128155796013731
"34","West Lagoon","Endothall","mid-channel","Before",2022,"c(1, 2, 3)",13,1,0.28,"Paratanytarsus",7.125,0,0.28,0.36,0.28,0.08
"35","West Lagoon","Endothall","mid-channel","After",2023,"c(1, 2, 3)",3,0,0.5,"c(""Oligochaeta"", ""Chironomus"")",7.5,0,0,0,1,0
"36","West Lagoon","Endothall","mid-channel","After",2024,"c(1, 2, 3)",13,0,0.426470588235294,"Ostracoda",7.17037037037037,0,0.0588235294117647,0,0.779411764705882,0.161764705882353
"37","West Lagoon","Endothall + UV","near-shore","Before",2022,"c(10, 11, 15)",29,5,0.130434782608696,"Ostracoda",7.36236391912908,0.0186335403726708,0.277950310559006,0.108695652173913,0.481366459627329,0.113354037267081
"38","West Lagoon","Endothall + UV","near-shore","After",2023,"c(10, 11, 15)",19,0,0.233480176211454,"Oligochaeta",6.31277533039648,0,0.0881057268722467,0.140969162995595,0.643171806167401,0.127753303964758
"39","West Lagoon","Endothall + UV","near-shore","After",2024,"c(10, 11, 15)",40,7,0.137634105025409,"Chydoridae",6.33650558994733,0.000423489553924337,0.158032185206098,0.135798983625071,0.567687747035573,0.138057594579334
"40","West Lagoon","Endothall + UV","mid-channel","Before",2022,"c(10, 11, 15)",9,0,0.608695652173913,"Nemata",5.3695652173913,0,0.0434782608695652,0.0217391304347826,0.260869565217391,0.673913043478261
"41","West Lagoon","Endothall + UV","mid-channel","After",2023,"c(11, 15, 10)",2,0,0.75,"Chironomus",8.75,0,0,0,1,0
"42","West Lagoon","Endothall + UV","mid-channel","After",2024,"c(10, 11, 15)",13,0,0.157894736842105,"Ostracoda",6.27480916030534,0,0.0526315789473684,0.0451127819548872,0.62406015037594,0.278195488721805
"43","West Lagoon","LFA","near-shore","Before",2022,"25",37,5,0.159962449464811,"Chydoridae",7.71266169687264,0.0847009873526401,0.201187842306622,0.139012458663748,0.552115519787151,0.0229831918898392
"44","West Lagoon","LFA","near-shore","After",2022,"26",26,2,0.24160447761194,"Paratanytarsus",6.67696629213483,0.00373134328358209,0.460820895522388,0.259328358208955,0.262126865671642,0.0139925373134328
"45","West Lagoon","LFA","near-shore","After",2023,"c(25, 26)",37,5,0.409252669039146,"Chydoridae",6.62118126272912,0.00355871886120996,0.0771055753262159,0.118623962040332,0.742586002372479,0.0581257413997628
"46","West Lagoon","LFA","near-shore","After",2024,"c(25, 26)",34,6,0.461116193961574,"Chydoridae",6.85547521561112,0.0163003902384376,0.0858711279571298,0.0594133353249809,0.817782922867226,0.0206322236122262
"47","West Lagoon","LFA","mid-channel","Before",2022,"25",14,0,0.388489208633093,"Ostracoda",7.00819672131148,0.0143884892086331,0.0719424460431655,0.0215827338129496,0.654676258992806,0.237410071942446
"48","West Lagoon","LFA","mid-channel","After",2022,"26",10,0,0.5,"Nemata",5.92307692307692,0,0.153846153846154,0.0769230769230769,0.153846153846154,0.615384615384615
"49","West Lagoon","LFA","mid-channel","After",2023,"c(25, 26)",12,0,0.232558139534884,"Oligochaeta",7.95238095238095,0,0.302325581395349,0.0697674418604651,0.627906976744186,0
"50","West Lagoon","LFA","mid-channel","After",2024,"c(25, 26)",8,0,0.230769230769231,"Chydoridae",7.3,0.0769230769230769,0.307692307692308,0.0769230769230769,0.538461538461538,0
"51","West Lagoon","Triclopyr","near-shore","Before",2022,"c(5, 8, 9)",31,5,0.1,"Ceratopogoninae",6.80166147455867,0.0469387755102041,0.514285714285714,0.0459183673469388,0.320408163265306,0.0724489795918367
"52","West Lagoon","Triclopyr","near-shore","After",2023,"c(5, 8, 9)",24,1,0.151260504201681,"Oligochaeta",6.74576271186441,0,0.159663865546218,0.109243697478992,0.588235294117647,0.142857142857143
"53","West Lagoon","Triclopyr","near-shore","After",2024,"c(5, 8, 9)",32,3,0.207749381698269,"Oligochaeta",6.96519886363636,0.0090684253915911,0.251442704039571,0.0461665292662819,0.671475680131904,0.0218466611706513
"54","West Lagoon","Triclopyr","mid-channel","Before",2022,"c(5, 8, 9)",7,0,0.25,"c(""Oligochaeta"", ""Gyraulus"")",7,0.25,0.25,0.125,0.375,0
"55","West Lagoon","Triclopyr","mid-channel","After",2023,"c(8, 9, 5)",2,0,0.5,"Psectrocladius",9,0,0.5,0,0.5,0
"56","West Lagoon","Triclopyr","mid-channel","After",2024,"c(5, 8, 9)",10,0,0.338709677419355,"Nemata",6.12903225806452,0.032258064516129,0.112903225806452,0,0.483870967741935,0.370967741935484
"57","West Lagoon","Triclopyr + UV","near-shore","Before",2022,"c(13, 14)",27,3,0.194748358862144,"c(""Hyalella"", ""Hyalella"")",6.94520547945205,0.0262582056892779,0.317286652078775,0.0568927789934354,0.586433260393873,0.0131291028446389
"58","West Lagoon","Triclopyr + UV","near-shore","After",2023,"c(13, 14)",22,1,0.229032258064516,"Oligochaeta",6.08116883116883,0,0.319354838709677,0.0967741935483871,0.525806451612903,0.0580645161290323
"59","West Lagoon","Triclopyr + UV","near-shore","After",2024,"c(13, 14)",33,4,0.14500442086649,"Ostracoda",7.32301740812379,0.00618921308576481,0.195402298850575,0.0150309460654288,0.690539345711759,0.0928381962864721
"60","West Lagoon","Triclopyr + UV","mid-channel","Before",2022,"c(13, 14)",5,0,0.529411764705882,"Nemata",5.44117647058823,0,0.0882352941176471,0.0588235294117647,0.235294117647059,0.617647058823529
"61","West Lagoon","Triclopyr + UV","mid-channel","After",2023,"c(13, 14)",3,0,0.571428571428571,"Parachironomus",10,0,0.571428571428571,0,0.428571428571429,0
"62","West Lagoon","Triclopyr + UV","mid-channel","After",2024,"c(13, 14)",9,0,0.227272727272727,"Ostracoda",6.7906976744186,0,0.136363636363636,0,0.636363636363636,0.227272727272727
"63","West Lagoon","Triclopyr + UV*","near-shore","Before",2022,"12",21,2,0.432270916334661,"Hyalella",7.82207207207207,0.0458167330677291,0.322709163346614,0.0438247011952191,0.583665338645418,0.00398406374501992
"64","West Lagoon","Triclopyr + UV*","near-shore","After",2023,"12",18,1,0.576576576576577,"Oligochaeta",5.53881278538813,0.00900900900900901,0.126126126126126,0.0585585585585586,0.671171171171171,0.135135135135135
"65","West Lagoon","Triclopyr + UV*","near-shore","After",2024,"12",25,0,0.25,"Chydoridae",6.84248210023866,0.00352112676056338,0.23943661971831,0.0246478873239437,0.688380281690141,0.0440140845070423
"66","West Lagoon","Triclopyr + UV*","mid-channel","Before",2022,"12",6,0,0.782608695652174,"Nemata",5.34782608695652,0,0.0869565217391304,0,0.0434782608695652,0.869565217391304
"67","West Lagoon","Triclopyr + UV*","mid-channel","After",2023,"12",0,0,-Inf,"character(0)",0,NA,NA,NA,NA,NA
"68","West Lagoon","Triclopyr + UV*","mid-channel","After",2024,"12",10,0,0.40625,"c(""Nemata"", ""Ostracoda"")",6.49206349206349,0,0.03125,0.015625,0.546875,0.40625
"69","West Lagoon","UV","near-shore","Before",2022,"c(22, 23, 24)",27,4,0.136775994417306,"Hyalella",7.24583963691377,0.0355896720167481,0.343335659455687,0.124214933705513,0.450104675505932,0.04675505931612
"70","West Lagoon","UV","near-shore","After",2023,"c(22, 23, 24)",27,1,0.180473372781065,"Oligochaeta",6.76047904191617,0.014792899408284,0.0946745562130177,0.334319526627219,0.488165680473373,0.0680473372781065
"71","West Lagoon","UV","near-shore","After",2024,"c(22, 23, 24)",43,5,0.107999205745751,"Micropsectra",7.07726484777315,0.0285786239060843,0.211494408740671,0.111059990410833,0.614592968912695,0.0342740080297167
"72","West Lagoon","UV","mid-channel","Before",2022,"c(22, 23, 24)",6,0,0.25,"Parachironomus",8.26666666666667,0,0.4375,0.375,0.1875,0
"73","West Lagoon","UV","mid-channel","After",2023,"c(22, 23, 24)",5,0,0.3,"Parachironomus",9.4,0,0.6,0,0.4,0
"74","West Lagoon","UV","mid-channel","After",2024,"c(22, 23, 24)",7,0,0.340425531914894,"Ostracoda",7.23404255319149,0,0.0212765957446809,0,0.787234042553192,0.191489361702128
